StockNo,VIN,Year,Make,Model,Trim,Condition,Mileage,InventorySince,AgeinDays,InternetPrice,MSRP,InvoicePrice,ExteriorColor,InteriorColor,Location,ShowroomTitle,Options,Type,Length,SleepingCapacity,FuelType,AirConditioners,Awnings,LevelingJacks,Serial.No,Status,LotName,Storename,LocationDescription
"11133B3","1HFTE340X74013325","2007","HONDA","FORMAN","INTERNAL SHOP","USED","0","22 JUL 13","1829","0.00","1,500.00","700.00","","","HMD","2007 HONDA FORMAN INTERNAL SHO","","OTHER","0","0","","0","NO","NO","C","A","HAMMOND","HAMMOND",""
"11765B","5NHUNS422DU105158","2013","CCRG","CCRG","CARGO","USED","0","05 APR 14","1572","0.00","1,500.00","1,500.00","","","HMD","2013 CCRG CCRG CARGO","","OTHER","0","0","","0","NO","NO","","A","HAMMOND","HAMMOND",""
"12374A","4UF11MPV6BT303546","2011","ARCTIC CAT","PROWLER","700 HDX","USED","","14 APR 14","1563","0.00","10,459.00","6,250.00","","","LFT","2011 ARCTIC CAT PROWLER 700 HD","","OTHER","0","0","","0","NO","NO","4UF11MPV6BT303546","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"14944B4","5WWDC1827A6001321","2010","CAR HAULER","CAR HAULER","CAR HAULER","USED","","13 JUN 15","1138","0.00","1.00","692.09","","","HMD","2010 CAR HAULER CAR HAULER CAR","","OTHER","0","0","","0","NO","NO","5WWDC1827A6001321","A","HAMMOND","HAMMOND",""
"15464A2","KNDJP3A53E7017658","2014","KIA","SOUL","WAGON 4D","USED","39810","06 FEB 16","900","0.00","14,900.00","12,063.50","","","ABB","2014 KIA SOUL WAGON 4D","","OTHER","0","0","","0","NO","NO","KNDJP3A53E7017658","A","ACADIANA","ACADIANA",""
"16056A","1CHPB14299G086555","2008","HAULMARK","HAULMARK","HAULMARK","USED","","13 JUN 16","772","0.00","6,995.00","3,000.00","WHITE","","LFT","2008 HAULMARK HAULMARK HAULMAR","","OTHER","0","0","","0","NO","NO","1CHPB14299G086555","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"16279B3","5KTBS17149F560437","2009","KRAN","BOAT TRAILER","BOAT TRAILER","USED","","25 APR 16","821","0.00","0.00","0.00","","","HMD","2009 KRAN BOAT TRAILER BOAT TR","","OTHER","0","0","","0","NO","NO","5KTBS17149F560437","A","HAMMOND","HAMMOND",""
"16930A2","1GCHC29275E197690","2005","CHEVROLET","SILVERADO","2500HD EXT CAB","USED","219939","14 SEP 16","679","0.00","14,995.00","19,340.63","","","ABB","2005 CHEVROLET SILVERADO 2500H","","OTHER","0","0","","0","NO","NO","1GCHC29275E197690","A","ACADIANA","ACADIANA",""
"17509A2","5RTBE1423FD046899","2015","LARK","LARK","7X14","USED","","28 APR 16","818","0.00","2,000.00","1,500.00","white","","LFT","2015 LARK LARK 7X14","","OTHER","14","0","","0","NO","NO","5RTBE1423FD046899","A","DEFUNIAK SPRINGS","DEFUNIAK SPRINGS",""
"18388B","4D6EB0813FC040120","2015","CARGO","CRAFT","8","USED","","27 JUN 16","758","0.00","3,500.00","750.00","","","ABB","2015 CARGO CRAFT 8","","OTHER","0","0","","0","NO","NO","4D6EB0813FC040120","A","ACADIANA","ACADIANA",""
